GO_id_or_uniprot_term	Description	OurLocalization	UniquePriorityNumber	SpatialRelation
GO:0030014	CCR4-NOT complex	Proteasome	8100	IN Cytoplasm
GO:0019005	SCF ubiquitin ligase complex	Proteasome	8100	IN Cytoplasm
GO:0032797	SMN complex	Proteasome	8100	IN Cytoplasm
GO:0031371	ubiquitin conjugating enzyme complex	Proteasome	8100	IN Cytoplasm
GO:0000151	ubiquitin ligase complex	Proteasome	8100	IN Cytoplasm
GO:0005838	proteasome regulatory particle (sensu Eukaryota)	Proteasome	8100	IN Cytoplasm
GO:0008537	proteasome activator complex	Proteasome	8100	IN Cytoplasm
GO:0000502	proteasome complex (sensu Eukaryota)	Proteasome	8100	IN Cytoplasm
GO:0005839	proteasome core complex (sensu Eukaryota)	Proteasome	8100	IN Cytoplasm
GO:0044456	synapse part	Synapse	8050	ACROSS Membrane
GO:0045202	synapse	Synapse	8050	ACROSS Membrane
synapse	synapse	Synapse	8050	ACROSS Membrane
GO:0044434	chloroplast part	Chloroplast	8050	IN Cytoplasm
GO:0009573	chloroplast ribulose bisphosphate carboxylase complex	Chloroplast	8050	IN Cytoplasm
GO:0030089	phycobilisome	Chloroplast	8050	IN Cytoplasm
chloroplast	chloroplast	Chloroplast	8050	IN Cytoplasm
chloroplast envelope	chloroplast envelope	Chloroplast	8050	IN Cytoplasm
chloroplast inner membrane	chloroplast inner membrane	Chloroplast	8050	IN Cytoplasm
chloroplast intermembrane space	chloroplast intermembrane space	Chloroplast	8050	IN Cytoplasm
chloroplast membrane	chloroplast membrane	Chloroplast	8050	IN Cytoplasm
chloroplast nucleoid	chloroplast nucleoid	Chloroplast	8050	IN Cytoplasm
chloroplast outer membrane	chloroplast outer membrane	Chloroplast	8050	IN Cytoplasm
chloroplast stroma	chloroplast stroma	Chloroplast	8050	IN Cytoplasm
chloroplast thylakoid	chloroplast thylakoid	Chloroplast	8050	IN Cytoplasm
chloroplast thylakoid lumen	chloroplast thylakoid lumen	Chloroplast	8050	IN Cytoplasm
chloroplast thylakoid membrane	chloroplast thylakoid membrane	Chloroplast	8050	IN Cytoplasm
GO:0019028	viral capsid	Viral	8000	IN Cytoplasm
GO:0019031	viral envelope	Viral	8000	IN Cytoplasm
GO:0019013	viral nucleocapsid	Viral	8000	IN Cytoplasm
Virion	Virion	Viral	8000	IN Cytoplasm
Virion membrane	Virion membrane	Viral	8000	IN Cytoplasm
GO:0070062	extracellular vesicular exosome	Vesicular exosome	7900	IN Extracellular
GO:0005776	autophagic vacuole	Autophagosome	7800	IN Cytoplasm
autophagosome	autophagosome	Autophagosome	7800	IN Cytoplasm
autophagosome lumen	autophagosome lumen	Autophagosome	7800	IN Cytoplasm
